職缺名稱,公司,需求人數,職位類別,工作待遇,工作技能,學歷要求,地點,經歷要求,工作內容
【點點印】iOS Developer 開發工程師 - 台灣最大相片書服務 (擴編中),點點印_黑米數位股份有限公司,1~2人,"軟體工程師
、Internet程式設計師
、iOS工程師",待遇面議,軟體程式設計、網路程式設計,專科,台北市南港區,2年,"如果你熱愛開發高品質的 iOS 應用，擁有 Swift 開發經驗，
並對影像處理、攝影、旅行充滿興趣，
我們正在尋找熱愛學習最新技術、樂於挑戰高效能開發的 iOS 工程師，
與我們一起打造 創新的客製化影像產品體驗！

【工作內容】
．主要開發 TinTint 點點印 App 新功能。
．持續改善和優化產品。
．重構現有程式和架構。

【必要條件】
．超過 (含) 3 年以上 iOS App 開發經驗。
．熟悉 Swift / RxSwift 。
．熟悉 iOS SDK 來完成常見需求。
．熟悉 UIKit、Auto Layout，能適配各螢幕尺寸。
．響應式開發程序 （Reactive Programming） 開發經驗
．了解 MVC、MVVM 等常見架構。
．了解基本 HTTP 協定、有 Restful API 介接經驗。
．熟悉 Git 版本控制。
．良好的團隊合作和溝通能力。

【加分項目】
．有 App 上架經驗。
．熟悉 Objective-C。
．SwiftUI 開發經驗。
．熟悉任一 Git Workflow 或版本控制策略。
．CI/CD、Unit Test 經驗。
．Flutter 等跨平台語言開發經驗。

【我們是點點印】
．設計 ✕ 科技 ✕ 印刷，用創意與技術改變客製化影像電商！
． 台灣設計、全球出貨，讓每一張照片都變得更有價值
．我們是一群熱愛攝影、旅行、技術挑戰的團隊，
讓開發不只是寫程式，而是 創造美好體驗！

應徵時，請附上你參與開發或做過的作品集，App Store or Github 連結即可。"
I109 Java新創金流服務工程師(可遠端工作),台灣大哥大股份有限公司,1人,"軟體工程師
、Internet程式設計師",待遇面議,不拘,不拘,台北市大安區,3年,"為數百萬消費者及數千家商店使用的先買後付(BNPL)平台，建構高彈性的系統及周邊服務並持續優化：
1. 負責資訊系統之程式開發、單元測試撰寫、功能測試 
2. 負責資料庫程式開發與維護  
3. 負責系統開發相關文件撰寫  
4. 負責系統維護管理與功能更新"
.NET 駐點工程師(內部編號：SI1-W2)(台北市大安區),艾帝浦杰股份有限公司,1人,"Internet程式設計師
、軟體工程師
、MIS程式設計師","月薪45,000~60,000元",不拘,不拘,台北市大安區,2年,"【技術要求】
• 系統後端C#、ASP .NET、.NET Framework、MVC、Web API、SQL 等開發經驗
• 網頁前端HTML、JavaScript 等開發經驗
• 物件導向開發思維
• Git程式版控經驗
• 溝通協調能力、重視團隊合作
• 熱愛程式開發，對新技術保持求知慾
• 具備2年以上開發經驗"
新埔廠-資管部-Internet程式設計工程師,聯茂電子股份有限公司,1人,"系統工程師
、MIS程式設計師
、Internet程式設計師","月薪30,000~60,000元",不拘,專科,新竹縣新埔鎮,2年,"1.Web應用設計與開發
2.資料庫應用設計與開發
3.新人類電子表單與流程設計與開發
工具：熟悉Javascript/JQuery/HTEL/CSS或.NETC#與VisualStudio、熟悉SQL語法佳"
行政助理（熟悉生成式AI）,博翊機械工業有限公司,1人,"行政助理
、資訊助理
、儲備幹部","月薪35,000元以上",報表彙整與管理、文件檔案資料處理、轉換及整合工作、負責文件更新、發行、審核與跟催作業、檔案管理之電腦化策略、文件管理中心之建立與維護、生成式AI、文書處理軟體操作、電子試算表軟體操作,不拘,雲林縣大埤鄉,1年,"我們正在尋找一位行政助理，具備使用AI工具的能力來支持日常辦公室工作。此職位適合細心、具備良好時間管理能力且能快速學習新工具的人才。

主要職責:
• 使用Excel進行資料整理、數據分析和表格調整，熟練掌握篩選、排序、公式設置等功能。
• 協助文件歸檔、分類及管理，保持文件庫的整潔和有序。
• 利用AI工具，如文書處理AI、自動化表格工具，提升工作效率。
• 協助主管或部門內的行政需求，如會議安排、文件準備、會議記錄等。
• 定期更新和維護公司內部資料庫或系統，確保數據的準確性和最新性。
• 其他主管交辦的工作。

任職要求:
• 熟悉Excel和文書處理軟體的操作。
• 具備基本的數據分析能力。
• 對AI工具的應用有基本認識，能夠快速掌握新的技術和工具。
• 良好的溝通能力和團隊合作精神，能夠獨立完成工作。
• 有耐心、細心，具備強烈的責任感和時間管理能力。
• 具備相關行政助理經驗者，或AI工具應用實務經驗者優先考慮。"
網路工程師,翊顥科技股份有限公司,1人,"網路管理工程師
、系統工程師
、資安工程師","月薪43,000~46,000元",規劃與管理防火牆、網路設備設定安裝、伺服器網站管理維護,專科,台北市萬華區,2年,"1. L2網路設備設定、網路規劃管理、防火牆設定、WIFI設定
2. 機房基礎架構維護、網路系統問題排除處理
3. 具備網路基礎知識
4. 完善的在職培訓機制、證照加給
5. 對IT有熱忱學習，主動積極，完成主管交辦作業
6. 年終獎金2個月"
52 運動控制產品設計工程師,新代科技股份有限公司,1人,"機械工程師
、軟體工程師",待遇面議,不拘,碩士,新竹市,不拘,"1. 多軸CNC與運動控制產品功能設計
2. 控制器加工/運動性能與加工問題分析
3. 產業、學界先進運動控制功能蒐集與規格訂定
4. 運動控制相關功能之測試任務設計與規劃
5. 公司內外連結橋樑，評估及反應客戶需求
6. 需配合中國大陸出差任務 "
統一超商資深資料工程師(客戶資料平台CDP),統一超商股份有限公司,1~2人,資料工程師,"月薪50,000~120,000元",不拘,大學,台北市信義區,5年,"CDP 與數據策略
● 設計 CDP 資料架構與數據模型，整合多來源數據，支援行銷自動化。
● 定義數據關鍵指標（如延遲、吞吐量），運用 data observability 確保資料品質與一致性。
高效數據管道建置
● 開發基於 Kafka 或 Flink 的即時數據流，以及 Airflow 調度的批次處理管道。
● 使用 Delta Lake 或 Snowflake 建置數據湖/倉庫，支援電商場景的高效查詢。
● 優化數據處理流程，確保低延遲與高吞吐量。
● 分析數據流效能，持續優化 ETL/ELT 流程，提升可靠度。
跨部門協作
● 與資料科學團隊合作，透過 MLOps 支援模型部署與訓練。
● 與行銷、產品、資料科學團隊對接，推動數據驅動專案。
● 具指導初/中階工程師經驗，能主導技術規劃與問題排查。
資料合規
● 設計符合 GDPR、CCPA 的資料模型與治理流程，確保資料安全與隱私。"
【誠品物流】MIS工程師,誠品生活股份有限公司,1人,"資訊設備管制人員
、系統工程師","月薪35,000元以上",伺服器網站管理維護,專科,桃園市平鎮區,3年,"工作內容
1.  伺服器設備(如Windows/Linux等)維運基礎操作
2.  監控系統運作效能，執行問題處理標準流程
3.  辦公室OA設備及現場作業電腦及資訊設備故障排除
4.  資產設備的庫存管理及維護
5.  執行公司軟硬體的基礎教育訓練
6.  系統Alarm確認及協助系統Admin執行事件處理
7.  參與IT相關計畫與新技術測試 

**本職務每兩個月約有一週需輪值至凌晨0點及假日輪班**"
電腦工程師(雲端中心網管組),雙鶴企業股份有限公司,1人,"網路管理工程師
、系統工程師","月薪38,000元以上",作業系統基本操作、電腦設備裝配、資訊設備操作檢修,專科,台北市中山區,1年,"1.簡易內網管理及故障排除
2.Window個人作業系統基本操作,軟體安裝
3.Window伺服器系統及錯誤排除
4.OA資訊設備建議及採購,維護"
【研發替代役】114DD005-無人載具開發工程師,金屬中心_財團法人金屬工業研究發展中心,1人,"電機技師／工程師
、電信／通訊系統工程師
、軟體工程師","月薪47,000~48,000元",不拘,碩士,高雄市茄萣區,不拘,"1.執行政府能源研發計畫
2.開發USV(無人水面載具)/ROV(無人水下載具)/UAV(無人飛機)多載具整合與遠端操控平台，包含遠端控制通訊軟硬體建置，
3.進行載具硬體加工、協作程式架構、操控器整合、開發案進度報告與管理等。"
資安系統開發後端工程師(新竹)-M122,精誠軟體服務股份有限公司,1~2人,"資安工程師
、後端工程師",待遇面議,不拘,專科,新竹市,不拘,"1、資安系統開發
2、網路封包及資安設備Log分析程式撰寫
3、報表系統撰寫
4、資安告警平台開發"
ASP.NET MVC 資深軟體工程師,華越資通企管顧問有限公司,1人,"軟體工程師
、MIS程式設計師
、軟體專案主管","月薪40,000~60,000元",系統架構規劃、軟體工程系統開發、軟體程式設計,專科,台中市西屯區,不拘,"●工作內容
1.網頁版EPR系統開發
2.帶領團隊建置產品,具備架構規劃能力



●技能要求
1. 具備ASP.NET C# 軟體開發經驗，熟悉.NET、.NET Core框架
2. 具備MS SQL應用開發經驗，熟悉T-SQL基礎， Entity Framework Core 開發
3. 具備JavaScript及AJAX應用開發經驗，有基礎CSS or HTML5網頁技術應用經驗
4. 具備開發、串接 Web API / Restful API 經驗
5. 掌握程式碼品質及可維護性


●擅長工具：
程式語言：C# (至少3年以上)
開發框架：ASP .NET 、ASP .NET Core MVC
資料庫：MS SQL
伺服器：Windows Server、SQL Server
網頁伺服器軟體：IIS
雲端平台：Azure、AWS、(具備基礎規劃、建置能力)

★薪資面議★"
台灣總部- DTS Pizza Hut/ET Dev 2 Team Lead,必勝客Pizza Hut/肯德基KFC_富利餐飲股份有限公司,1人,"後端工程師
、軟體專案主管
、電子商務技術主管",待遇面議,系統架構規劃、系統整合分析、軟體程式設計、軟體品質與保證,大學,台北市中山區,7年,"【應徵方式】
請至：https://jrg.avature.net/en_US/careers/JobDetail/1837 投遞履歷， 我們會以這邊收到的履歷為主

We are looking for an experienced Dev Lead to manage and optimize the development team responsible for maintaining and enhancing the Pizza Hut website while driving digital transformation. This role will oversee team members working with PHP, Python, and C# technologies and integrate BI and ERP systems (Power BI & D365) to improve business efficiency and data visualization. Additionally, our infrastructure primarily runs on GCP, leveraging Serverless services to ensure flexibility and scalability. The ideal candidate should also have experience with App development workflows to ensure seamless integration between Web and App platforms.

1. Development and maintenance
- Lead the development, maintenance, and performance optimization of the Pizza Hut website.
- Supervise and manage team members working with Python and C#.
- Plan and implement backend and system architecture improvements to enhance stability and scalability.
- Collaborate with data analytics teams to integrate Power BI and enhance data visualization.
- Work closely with the ERP team to ensure seamless integration between D365, the website, and other systems.

2. System testing and operation
- Ensure that development processes adhere to security standards and best practices while implementing DevOps / CI/CD workflows.
- Monitor system performance, diagnose issues, and drive optimizations.
- Have a strong understanding of GCP cloud infrastructure, including Serverless technologies.
- Understand App development workflows to ensure smooth Web and App integration.

3. Communication and Collaboration
- Facilitate cross-department communication to align technology solutions with business needs.
- Work closely with internal and external stakeholders to drive project success.
- Assist in defining technical requirements and priorities based on business needs.

4. Technical advice and knowledge update and upgrade.
- Stay updated with the latest industry trends, technologies, and best practices.
- Guide and mentor developers in different technical domains.
- Recommend and implement improvements in tools, frameworks, and workflows to optimize team efficiency and software quality."
